193,32.04,63.12,998.12,0.3
194,29.71,75.17,997.33,0.9
195,30.42,67.17,997.25,0.0
196,31.88,64.5,996.79,0.5
197,30.92,68.75,997.33,1.5
198,30.12,77.12,995.04,5.0
199,30.25,71.42,997.79,0.2
200,31.17,61.0,999.83,0.0
201,31.21,61.5,998.08,1.6
202,30.42,75.21,998.58,10.1
203,30.42,74.96,998.54,0.7
204,29.08,76.67,998.12,3.6
205,28.17,82.96,998.96,6.2
206,28.71,79.83,999.0,2.5
207,29.58,76.08,997.67,3.7
208,29.0,73.38,996.33,0.9
209,29.33,67.04,997.25,0.0
210,29.92,66.08,1000.29,0.0
211,30.04,64.12,1001.88,0.0
212,29.88,64.29,1001.0,0.0
213,30.92,58.0,1000.83,0.0
214,32.33,54.0,1000.71,0.0
215,32.04,51.17,1000.42,0.0
216,31.04,54.0,999.79,0.0
217,31.79,56.29,998.83,1.8
218,32.04,54.96,998.71,0.3
219,32.12,52.67,999.58,0.0
220,31.96,51.21,999.5,0.0
221,33.54,46.04,998.17,0.0
222,33.54,44.21,999.46,0.0
223,32.88,49.46,1001.62,0.4
224,34.08,43.75,1000.71,0.0
225,32.04,53.88,1000.92,3.6
226,28.67,64.17,1002.88,0.0
227,26.25,79.21,1002.79,5.4
228,24.46,88.92,1002.75,6.6
229,27.67,75.62,1003.38,3.1
230,30.5,64.0,1004.33,1.3
231,31.08,57.92,1005.42,0.0
232,31.12,51.71,1004.62,0.0
233,31.79,50.79,1003.46,0.0
234,31.71,48.92,1002.21,0.0
235,32.17,47.12,1002.25,0.1
236,32.12,50.17,1002.88,1.1
237,29.46,67.42,1003.46,3.2
238,29.5,69.67,1003.33,0.0
239,29.08,75.5,1003.17,0.0
240,28.12,78.71,1004.38,0.0
241,27.67,83.12,1003.0,0.1
242,27.54,85.46,1003.83,8.9
243,28.88,72.54,1006.0,0.3
244,30.04,67.96,1005.62,0.0
245,29.88,71.96,1002.83,1.2
246,29.5,71.96,1001.38,0.0
247,29.67,65.58,1001.25,0.1
248,30.04,61.04,1000.88,0.0
249,30.33,52.71,1000.17,0.0
250,29.58,56.42,1001.96,0.0
251,28.79,59.71,1002.83,0.0
252,26.21,81.96,1002.42,0.3
253,24.42,90.04,1001.79,6.1
254,27.33,71.58,1003.46,0.9
255,28.0,60.58,1008.21,0.0
256,28.92,50.17,1008.38,0.0
257,28.88,35.75,1007.88,0.0
258,28.83,40.42,1005.75,0.0
259,29.25,44.71,1006.25,0.0
260,29.92,42.29,1007.92,0.0
261,31.0,43.04,1007.96,0.0
262,31.5,32.5,1007.04,0.0
263,31.42,31.5,1006.46,0.0
264,32.0,32.67,1006.04,0.0
265,32.21,26.29,1005.58,0.0
266,32.5,26.46,1005.21,0.0
267,32.12,26.62,1006.38,0.0
268,31.88,27.92,1006.25,0.0
269,31.38,33.5,1006.71,0.0
270,30.54,33.58,1006.38,0.0
271,30.0,29.83,1005.83,0.0
272,30.46,36.33,1005.25,0.0
273,30.92,39.71,1005.21,0.0
274,30.67,46.17,1006.21,0.0
275,30.25,56.79,1006.12,0.0
276,27.96,71.5,1004.46,1.4
277,26.75,76.5,1005.29,1.5
278,25.96,83.83,1005.38,4.1
279,27.33,71.75,1004.25,0.0
280,27.88,53.12,1004.54,0.0
281,27.25,34.33,1004.96,0.0
282,27.5,42.62,1006.92,0.0
283,28.12,40.08,1008.79,0.0
284,27.5,31.21,1010.58,0.0
285,27.42,34.42,1011.75,0.0
286,27.42,42.0,1012.17,0.0
287,25.83,42.83,1012.42,0.0
288,26.42,37.42,1012.33,0.0
289,27.08,38.79,1012.42,0.0
290,27.21,39.29,1010.67,0.0
291,27.54,33.5,1009.71,0.0
292,26.04,22.17,1011.29,0.0
293,25.75,22.58,1012.12,0.0
294,25.17,26.21,1013.33,0.0
295,24.79,23.79,1014.29,0.0
296,24.54,20.79,1013.54,0.0
297,23.75,17.96,1012.54,0.0
298,24.46,19.83,1012.79,0.0
299,24.83,20.62,1014.08,0.0
300,24.46,22.04,1013.71,0.0
301,24.75,24.46,1013.92,0.0
302,25.58,21.96,1016.38,0.0
303,25.79,21.46,1015.62,0.0
304,25.42,19.67,1013.62,0.0
305,25.33,18.92,1012.92,0.0
306,24.67,25.88,1014.79,0.0
307,24.17,37.17,1016.04,0.0
308,23.5,44.96,1016.71,0.0
309,22.54,44.46,1016.0,0.0
310,22.88,45.67,1013.96,0.0
311,23.83,45.17,1012.38,0.0
312,23.92,40.04,1011.46,0.0
313,24.29,30.58,1010.04,0.0
314,22.62,26.5,1009.46,0.0
315,21.33,30.33,1010.08,0.0
316,19.46,52.12,1011.25,0.8
317,19.04,81.0,1013.42,0.4
318,23.46,69.88,1011.75,0.2
319,23.21,61.92,1009.75,0.0
320,23.33,58.92,1010.17,0.0
321,22.12,57.75,1012.46,0.0
322,19.58,33.42,1015.54,0.0
323,17.83,26.38,1017.29,0.0
324,17.67,28.46,1017.88,0.0
325,17.92,27.96,1017.67,0.0
326,17.25,31.79,1017.58,0.0
327,17.83,36.25,1017.67,0.0
328,18.04,40.21,1015.79,0.0
329,19.38,35.83,1014.92,0.0
330,19.75,29.25,1014.5,0.0
331,19.67,34.08,1015.54,0.0
332,19.29,40.54,1017.25,0.0
333,18.17,40.17,1017.88,0.0
334,18.5,40.08,1017.33,0.0
335,18.58,38.5,1017.75,0.0
336,18.25,35.33,1017.67,0.0
337,17.88,34.71,1016.62,0.0
338,18.38,37.04,1015.21,0.0
339,19.17,38.21,1013.42,0.0
340,18.88,46.17,1013.29,0.0
341,18.42,50.21,1014.12,0.0
342,17.92,48.83,1015.17,0.0
343,19.08,55.88,1014.21,0.0
344,18.88,60.5,1013.79,0.0
345,19.21,57.12,1014.88,0.0
346,19.54,42.58,1014.67,0.0
347,18.67,38.12,1015.54,0.0
348,18.83,44.46,1016.04,0.0
349,18.88,49.5,1016.54,0.0
350,17.83,57.58,1017.38,0.0
351,17.25,44.17,1017.46,0.0
352,16.83,38.88,1019.29,0.0
353,15.29,35.88,1020.54,0.0
354,16.29,37.83,1020.38,0.0
355,15.71,38.75,1021.04,0.0
356,15.46,36.04,1019.12,0.0
357,16.08,42.21,1017.67,0.0
358,15.83,42.71,1017.5,0.0
359,14.54,42.54,1015.08,0.0
360,14.42,38.83,1014.12,0.0
361,15.38,46.58,1013.62,0.0
362,15.0,52.0,1014.46,0.0
363,15.83,45.54,1014.17,0.0
364,15.62,43.25,1014.79,0.0
365,13.83,38.0,1016.25,0.0
366,14.08,43.21,1017.29,0.0
367,14.54,46.46,1017.96,0.1
368,13.5,68.04,1018.67,0.5
369,13.46,65.33,1017.88,0.0
370,13.38,51.0,1014.96,0.0
371,13.33,53.38,1015.92,0.0
372,12.92,57.33,1017.08,0.0
373,12.29,60.12,1017.25,0.0
374,12.25,54.0,1017.04,0.0
375,12.83,46.29,1017.67,0.0
376,13.38,32.46,1017.83,0.0
377,15.46,40.96,1016.25,0.2
378,13.83,65.21,1018.21,0.4
379,12.67,62.08,1022.71,0.0
380,13.33,52.75,1022.67,0.0
381,14.04,45.79,1022.67,0.0
382,14.38,51.17,1021.54,0.0
383,14.08,47.29,1020.29,0.0
384,14.67,44.96,1018.92,0.0
385,15.38,46.38,1019.38,0.0
386,15.54,45.04,1018.33,0.0
387,16.71,42.12,1017.08,0.0
388,17.33,42.33,1016.54,0.0
389,17.12,44.0,1014.79,0.0
390,17.67,49.33,1016.71,0.0
391,18.04,54.0,1017.71,0.0
392,18.04,45.25,1016.67,0.0
393,18.17,37.58,1015.75,0.0
394,20.25,34.96,1016.0,0.0
395,18.58,41.88,1017.5,0.0
396,17.33,43.29,1016.29,0.0
397,17.12,43.12,1015.96,0.0
